Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,AF1,ADAFRUIT_MPR121,1,MPR121 TOUCH SENSE 12-KEY,1528-1038-ND,digikey
2,C1,0.1uF,1,CAP CER 0.1UF 50V 10% X7R 1210,399-13229-1-ND,digikey
3,P1 P2,HEADER_02X03,2,CONN HEADER 6POS 2.54,732-5394-ND,digikey
4,S1 S2 S3,HEADER_01X02,3,CONN HEADER 2POS .100 VERT GOLD,609-3500-ND,digikey
5,SO1 SO2 SO3 SO4,STANDOFF_M2.5x0.45x8,4,HEX STANDOFF M2.5 ALUMINUM 8MM,36-24422-ND,digikey
6,T1,TERM_BLK_12_PIN_0.1_PITCH,1,CONN TERM BLOCK 2.54MM 12POS PCB, ED10568-ND,digikey
7,U1,PCA9615,1,IC REDRIVER I2C 2CH 10TSSOP,568-11484-1-ND,digikey
